Identification : 1  DF :0 MF: 1  Fragment offset : 0
Identification : 1  DF :0 MF: 1  Fragment offset : 1480
Identification : 1  DF :0 MF: 0  Fragment offset : 2960


Identification : 2  DF :0 MF: 1  Fragment offset : 0
Identification : 2  DF :0 MF: 1  Fragment offset : 1480
Identification : 2  DF :0 MF: 1  Fragment offset : 2960
Identification : 2  DF :0 MF: 0  Fragment offset : 4440

id MF 偏移 源地址 目的地址 ttl 数据
23 1 0 192.168.1.5 192.168.1.6 64 aaa
23 1 1480 192.168.1.5 192.168.1.6 64 bbb
23 1 2960 192.168.1.5 192.168.1.6 64 ccc
23 0 4440 192.168.1.5 192.168.1.6 64 ddd



23 1 0 192.168.1.5 192.168.1.6 64 aaa
23 0 4440 192.168.1.5 192.168.1.6 64 ddd
23 1 2960 192.168.1.5 192.168.1.6 64 ccc
23 1 1480 192.168.1.5 192.168.1.6 64 bbb


27 1 0 192.168.1.5 192.168.1.6 128 eee
27 0 2096 192.168.1.5 192.168.1.6 128 ggg
27 1 1480 192.168.1.5 192.168.1.6 128 fff


27 1 0 192.168.1.5 192.168.1.6 128 eee
23 1 0 192.168.1.5 192.168.1.6 64 aaa
27 0 2096 192.168.1.5 192.168.1.6 128 ggg
27 1 1480 192.168.1.5 192.168.1.6 128 fff
23 0 4440 192.168.1.5 192.168.1.6 64 ddd
23 1 2960 192.168.1.5 192.168.1.6 64 ccc
23 1 1480 192.168.1.5 192.168.1.6 64 bbb
